program,coefficient,abs_coefficient
senescence,6.827284475612481,6.827284475612481
oxidative_stress,3.8259985589552614,3.8259985589552614
nfkb_inflammatory,1.951156037435131,1.951156037435131
AT2_to_AT1_differentiation,1.640310178544791,1.640310178544791
AT2_identity,-1.1324257356903185,1.1324257356903185
AT1_identity,-1.0233855804974648,1.0233855804974648
apoptosis,-0.24826227842240076,0.24826227842240076
interferon_response,-0.15716165637146845,0.15716165637146845
