program,rho_dist_to_healthy,p_dist_to_healthy,rho_pseudotime,p_pseudotime
AT2_identity,-0.17618287703474336,9.605161244295514e-154,-0.7039790543663523,0.0
AT1_identity,0.14476896423325408,6.348524665520098e-104,0.6939370522669874,0.0
interferon_response,0.0020762309402454692,0.7574491203226971,0.0800924975575304,7.999044884622152e-33
nfkb_inflammatory,0.13724949926701893,1.6647742983207442e-93,-0.00046011433135121813,0.9454350888191778
oxidative_stress,0.14230905513404773,1.8810751983731528e-100,0.024401606724499914,0.0002832101035575079
AT2_to_AT1_differentiation,0.16819535322148454,4.1956556732272113e-140,0.30633754167082317,0.0
apoptosis,-0.03908982199500119,6.002272550719144e-09,0.03881547380562535,7.657029448376085e-09
senescence,0.10456581115182553,7.682226880620244e-55,0.14336987634129192,6.092747456278373e-102
