median_pseudotime_diff,displacement_effect_size,program_ordering_rho,left_out_donor
0.05985665321350098,0.17239117622375488,0.6904761904761906,C51ctr
0.028102070093154907,0.22439759969711304,0.7142857142857144,C52ctr
0.05746728926897049,0.15032726526260376,0.6428571428571429,C53ctr
0.03294283151626587,0.13639825582504272,0.2142857142857143,C54ctr
0.0464615672826767,0.10984712839126587,0.5476190476190477,C55ctr
0.20185275375843048,0.1325283646583557,-0.1666666666666667,C56ctr
0.05980077385902405,0.07361888885498047,0.6190476190476191,C57ctr
0.06299430876970291,0.1268528699874878,0.38095238095238104,L01cov
0.06101857125759125,0.13887405395507812,0.5952380952380953,L03cov
0.07598407566547394,0.13360857963562012,0.5000000000000001,L04cov
0.062002718448638916,0.1338900327682495,0.6428571428571429,L04covaddon
0.07439664751291275,0.14765691757202148,0.5952380952380953,L05cov
0.0318421944975853,0.3902515769004822,0.7380952380952381,L06cov
0.07761013507843018,0.09119933843612671,0.4047619047619048,L07cov
0.06442510336637497,0.12607240676879883,0.6428571428571429,L08cov
0.04881516844034195,0.16431742906570435,0.7380952380952381,L09cov
0.049789853394031525,0.13558626174926758,0.5476190476190477,L10cov
0.06893640756607056,0.14673227071762085,0.4047619047619048,L11cov
0.06509459018707275,0.12483268976211548,0.6190476190476191,L12cov
0.06225944310426712,0.12974411249160767,0.7142857142857144,L13cov
0.06529803574085236,0.1555345058441162,0.6190476190476191,L15cov
0.08154599368572235,0.1355496644973755,0.4523809523809524,L16cov
0.06283588707447052,0.14283853769302368,0.5952380952380953,L17cov
0.06770658493041992,0.1526067852973938,0.6428571428571429,L18cov
0.08592343330383301,0.059044063091278076,0.6190476190476191,L19cov
0.0476091131567955,0.1529821753501892,0.6904761904761906,L21cov
0.03771868348121643,0.14687269926071167,0.5952380952380953,L22cov
