median_pseudotime_diff,displacement_effect_size,program_ordering_rho,n_cells,ablation,variant,batch_correct,root_strategy,error
0.13250866532325745,-0.2920955419540405,0.3333333333333334,11341.0,01_at2_only,,,,
0.04825527220964432,0.14068293571472168,0.5476190476190477,,02_embedding_diffmap,diffmap,,,
0.04825527220964432,0.14068293571472168,0.5476190476190477,,02_embedding_umap,umap,,,
0.04825527220964432,0.14068293571472168,0.5476190476190477,,03_batch_corrected,,True,,
0.04825527220964432,0.14068293571472168,0.5476190476190477,,03_batch_uncorrected,,False,,
0.07355353236198425,0.14050018787384033,0.5,,04_no_apoptosis_genes,,,,
-0.009362637996673584,0.14068293571472168,-0.09523809523809526,,05_root_covid_extreme,,,covid_extreme,
-0.036973461508750916,0.14068293571472168,0.6428571428571429,,05_root_healthy_AT1_centroid,,,healthy_AT1_centroid,
0.04825527220964432,0.14068293571472168,0.5476190476190477,,05_root_healthy_AT2_centroid,,,healthy_AT2_centroid,
0.010236211121082306,0.14068293571472168,0.5476190476190477,,05_root_random_healthy,,,random_healthy,
-0.008159823715686798,0.252918541431427,0.8333333333333335,,06_broader_epithelial,,,,
0.04825527220964432,0.14068293571472168,1.0,,08_alt_programs_curated_only,curated_only,,,
0.04825527220964432,0.14068293571472168,-0.7999999999999999,,08_alt_programs_msigdb_only,msigdb_only,,,
0.02838370226414333,0.14068293571472168,0.4761904761904762,,09_palantir,,,,
