pseudotime_bin,pseudotime_center,program,mean_score,sem,n_cells
0,0.008734451,AT2_identity,0.21679684160430762,0.2509882890724134,2
0,0.008734451,AT1_identity,-0.13475610029223867,0.006049571099959544,2
0,0.008734451,interferon_response,-0.043951217671883,0.014698874959705802,2
0,0.008734451,nfkb_inflammatory,0.17791054725429029,0.2780735621897749,2
0,0.008734451,oxidative_stress,0.01848874335477607,0.14871879820956557,2
0,0.008734451,AT2_to_AT1_differentiation,-0.17944527472076016,0.008047491704583312,2
0,0.008734451,apoptosis,-0.016218731235732437,0.009718345969064679,2
0,0.008734451,senescence,-0.040175807684626655,0.0037017928653807174,2
1,0.03424155,AT2_identity,0.27294203758490193,0.08121803136215136,39
1,0.03424155,AT1_identity,-0.01694230632437879,0.03258838496622307,39
1,0.03424155,interferon_response,-0.02205943527129937,0.013341217719364062,39
1,0.03424155,nfkb_inflammatory,0.134199610716558,0.03632024267894444,39
1,0.03424155,oxidative_stress,-0.011244417696587782,0.027401933885666842,39
1,0.03424155,AT2_to_AT1_differentiation,0.010406086609033048,0.037050237565524544,39
1,0.03424155,apoptosis,-0.008612247654161246,0.01031949760892916,39
1,0.03424155,senescence,-0.011766547089302281,0.01637597035652644,39
2,0.051854488,AT2_identity,0.26615108961112144,0.037298891863756185,229
2,0.051854488,AT1_identity,0.022680537375446973,0.014262766946031638,229
2,0.051854488,interferon_response,-0.04271552852177153,0.0037979030697033026,229
2,0.051854488,nfkb_inflammatory,0.06347232870094852,0.012078775258924307,229
2,0.051854488,oxidative_stress,-0.027480802291966443,0.009812795140752738,229
2,0.051854488,AT2_to_AT1_differentiation,-0.020719626647970356,0.013233893516086028,229
2,0.051854488,apoptosis,-0.010128488152343842,0.0039472272199710485,229
2,0.051854488,senescence,-0.02496117887187456,0.006358285239184487,229
3,0.07049442,AT2_identity,0.1861418487400608,0.02489290172634548,374
3,0.07049442,AT1_identity,0.026999156612263226,0.011172307133820081,374
3,0.07049442,interferon_response,-0.04117875504725965,0.0033849252758430754,374
3,0.07049442,nfkb_inflammatory,0.04472840599463403,0.01010603835636006,374
3,0.07049442,oxidative_stress,-0.04263995989439548,0.008476564444340558,374
3,0.07049442,AT2_to_AT1_differentiation,-0.018922426941389143,0.010999889615702224,374
